Medicine, Cost, Composition, Dosage
Chlorpromazine,75, Propranolol Hydrochloride, 400-600mg every 4-6 hours (up to 3.2g/day)
Donepezil,37, Lamotrigine, 325-650mg every 4-6 hours (up to 4g/day)
Lercanidipine,79, Nifedipine, 75-150mg 2-3 times/day
Metformin,59, Gabapentin, 0.2-0.3g before each meal
Valsartan,49, Metformin Hydrochloride, 40mg once/day
Simvastatin,47, Glyburide, 1-4mg once/day
Fluoxetine,62, Clopidogrel Bisulfate, 5-10mg once/day
Diltiazem,89, Venlafaxine Hydrochloride, 2.5-30mg once every 2-4 weeks
Rosiglitazone,55, Clopidogrel Bisulfate, 2.5-20mg once/day with meal
Amlodipine,69, Diltiazem Hydrochloride, 10mg once/day
Candesartan,43, Voglibose, 1-4mg once/day
Venlafaxine,64, Pioglitazone Hydrochloride, 12.5-150mg 3 times/day
Procardia,27, Olanzapine, 150-300mg once/day
Montelukast,41, Enalapril Maleate, 500mg every 4-6 hours (up to 4g/day)
Risperidone,36, Donepezil Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Lercanidipine,82, Montelukast Sodium, 40-60mg once/day
Thioridazine,59, Nifedipine, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Venlafaxine,51, Furosemide, 75-150mg 2-3 times/day
Glibenclamide,48, Glibenclamide, 8-32mg once/day
Cetirizine,36, Amlodipine Besylate, 25-100mg once/day
Risperidone,28, Ibuprofen, 250-500mg every 8 hours (up to 3g/day)
Propranolol,64, Acetaminophen, 40-160mg once/day
Rosiglitazone,46, Glyburide, 40-60mg once/day
Voglibose,62, Glimepiride, 2.5-20mg once/day with meal
Acarbose,55, Clonazepam, 10-40mg once/day
Enalapril,33, Benazepril Hydrochloride, 120mg before each meal
Hydrochlorothiazide,86, Gabapentin, 10-20mg once/day
Acarbose,83, Simvastatin, 25-500mg once/day
Clonazepam,76, Duloxetine Hydrochloride, 500mg on day 1 followed by 250mg once/day for 4 days
Paliperidone,91, Chlorpromazine Hydrochloride, 10mg once/day
Procardia,88, Furosemide, 6.25-50mg 2-3 times/day
Plendil,87, Diltiazem Hydrochloride, 25-800mg once/day
Procardia,35, Nifedipine, 40-60mg once/day
Venlafaxine,26, Levothyroxine Sodium, 20-80mg once/day
Montelukast,52, Glibenclamide, 100mg every 12 hours (up to 200mg/day)
Clonazepam,92, Lamotrigine, 500mg on day 1 followed by 250mg once/day for 4 days
Donepezil,39, Amlodipine Besylate, 40-160mg once/day
Voglibose,29, Acetylsalicylic Acid, 500-3000mg/day
Ziprasidone,63, Lisinopril Dihydrate, 10-30mg 2-3 times/day
Acarbose,23, Telmisartan, 1-100mg/day
Nifedipine,37, Cetirizine Hydrochloride, 12.5-150mg 3 times/day
Valsartan,52, Thioridazine Hydrochloride, 5-10mg once/day
Cetirizine,35, Trazodone Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Doxycycline,47, Gabapentin, 75-300mg once/day
Furosemide,46, Losartan Potassium, 12.5-25mg once/day
Hydrochlorothiazide,30, Cetirizine Hydrochloride, 40-320mg 2-3 times/day
Paracetamol,81, Propranolol Hydrochloride, 8-32mg once/day
Pioglitazone,44, Nifedipine, 0.5-4mg before each meal
Metformin,49, Pioglitazone Hydrochloride, 37.5-225mg once/day
Thioridazine,62, Aripiprazole, 40-320mg once/day
Adalat,78, Rosiglitazone Maleate, 10-80mg once/day
Valproic Acid,71, Ramipril, 100mg every 12 hours (up to 200mg/day)
Propranolol,63, Valsartan, 5-10mg once/day
Nisoldipine,62, Propranolol Hydrochloride, 2.5-10mg once/day
Glyburide,27, Lamotrigine, 5-30mg once/day
Metformin,25, Felodipine, 50-450mg 2-3 times/day
Glimepiride,71, Warfarin Sodium, 1-4mg once/day
Gabapentin,44, Warfarin Sodium, 5-10mg once/day
Haloperidol,51, Furosemide, 325-650mg every 4-6 hours (up to 4g/day)
Lisinopril,89, Ramipril, 2-6mg once/day
Metformin,55, Captopril, 10-30mg 2-3 times/day
Valsartan,64, Amlodipine Besylate, 10mg once/day
Thioridazine,72, Montelukast Sodium, 10-30mg 2-3 times/day
Chlorpromazine,71, Ramipril, 25-200mcg once/day
Azithromycin,82, Pioglitazone Hydrochloride, 10-30mg 2-3 times/day
Enalapril,61, Captopril, 10-40mg once/day
Azithromycin,33, Quetiapine Fumarate, 5-10mg once/day
Amlodipine,50, Gabapentin, 2.5-10mg once/day
Olanzapine,37, Metformin Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Aripiprazole,96, Donepezil Hydrochloride, 25-100mg once/day
Quetiapine,44, Metformin Hydrochloride, 25-100mg once/day
Alprazolam,53, Chlorpromazine Hydrochloride, 10-40mg once/day
Lercanidipine,58, Propranolol Hydrochloride, 10-30mg 2-3 times/day
Procardia,62, Captopril, 20-80mg once/day
Metformin,65, Azithromycin, 500mg on day 1 followed by 250mg once/day for 4 days
Lisinopril,33, Valsartan, 5-40mg once/day
Metoprolol,30, Irbesartan, 5-10mg once/day
Simvastatin,33, Pioglitazone Hydrochloride, 500-3000mg/day
Venlafaxine,74, Simvastatin, 500mg every 4-6 hours (up to 4g/day)
Nisoldipine,55, Metoprolol Tartrate, 500mg every 4-6 hours (up to 4g/day)
Cetirizine,44, Pioglitazone Hydrochloride, 40-320mg once/day
Plendil,24, Candesartan Cilexetil, 5-10mg once/day
Lercanidipine,82, Glyburide, 10-30mg 2-3 times/day
Procardia,30, Glyburide, 2.5-20mg once/day with meal
Carvedilol,51, Glibenclamide, 2.5-10mg once/day
Cetirizine,10, Atorvastatin Calcium, 250-500mg every 8 hours (up to 3g/day)
Montelukast,68, Metoprolol Tartrate, 120mg before each meal
Amlodipine,46, Atorvastatin Calcium, 80-120mg 2-3 times/day
Clopidogrel,74, Azithromycin, 150-300mg once/day
Aripiprazole,61, Verapamil Hydrochloride, 4-8mg once/day
Aspirin,30, Candesartan Cilexetil, 80-120mg 2-3 times/day
Baclofen,54, Propranolol Hydrochloride, 10-80mg once/day
Captopril,62, Fluphenazine Decanoate, 25-100mg before each meal
Propranolol,38, Nateglinide, 0.5-4mg before each meal
Telmisartan,51, Carvedilol, 20mg once/day
Warfarin,27, Donepezil Hydrochloride, 25-1000mg/day
Acarbose,50, Haloperidol, 5-10mg once/day
Nateglinide,56, Felodipine, 4-8mg once/day
Alprazolam,71, Amlodipine Besylate, 1-4mg once/day
Ziprasidone,71, Aripiprazole, 150-300mg 2-3 times/day
Azithromycin,54, Ramipril, 6.25-50mg 2-3 times/day
Isradipine,58, Benazepril Hydrochloride, 10-40mg once/day
Lisinopril,70, Trazodone Hydrochloride, 5-10mg once/day
Plendil,62, Telmisartan, 5-10mg once/day
Amoxicillin,56, Lercanidipine Hydrochloride, 25-100mg before each meal
Furosemide,36, Telmisartan, 25-100mg once/day
Aripiprazole,67, Irbesartan, 5-10mg once/day
Thioridazine,75, Metformin Hydrochloride, 10-80mg 2-3 times/day
Baclofen,65, Metformin Hydrochloride, 5-10mg once/day
Metoprolol,59, Fluoxetine Hydrochloride, 500-3000mg/day
Hydrochlorothiazide,74, Clonazepam, 20-80mg once/day
Repaglinide,74, Glibenclamide, 10-80mg 2-3 times/day
Repaglinide,59, Donepezil Hydrochloride, 120mg before each meal
Lamotrigine,30, Propranolol Hydrochloride, 10-40mg once/day
Nisoldipine,62, Enalapril Maleate, 25-800mg/day
Paracetamol,71, Donepezil Hydrochloride, 5-10mg once/day
Captopril,51, Pregabalin, 20mg once/day
Benazepril,70, Cetirizine Hydrochloride, 10-20mg once/day
Glimepiride,37, Losartan Potassium, 2.5-20mg once/day with meal
Verapamil,77, Hydrochlorothiazide, 40-320mg once/day
Doxycycline,45, Alprazolam, 100mg every 12 hours (up to 200mg/day)
Pregabalin,48, Lithium Carbonate, 1-4mg once/day
Metoprolol,38, Ziprasidone Hydrochloride, 0.2-0.3g before each meal
Glibenclamide,53, Metformin Hydrochloride, 2.5-20mg once/day
Olanzapine,61, Irbesartan, 40-160mg once/day
Haloperidol,60, Rosiglitazone Maleate, 500mg every 4-6 hours (up to 4g/day)
Glimepiride,56, Lamotrigine, 0.5-4mg before each meal
Aripiprazole,82, Doxycycline Hyclate, 0.5-2mg 2-3 times/day
Propranolol,41, Atorvastatin Calcium, 25-100mg once/day
Duloxetine,33, Montelukast Sodium, 75-300mg once/day
Lamotrigine,71, Metformin Hydrochloride, 30-120mg 2-3 times/day
Quetiapine,36, Acarbose, 500mg every 4-6 hours (up to 4g/day)
Venlafaxine,62, Acarbose, 1-4mg once/day
Metformin,78, Metformin Hydrochloride, 10mg once/day
Glyburide,24, Alprazolam, 5-10mg once/day
Thioridazine,76, Isradipine, 0.2-0.3g before each meal
Enalapril,74, Enalapril Maleate, 75mg once/day
Amlodipine,17, Gabapentin, 2.5-20mg once/day with meal
Lamotrigine,77, Acetaminophen, 4-8mg once/day
Pioglitazone,66, Alprazolam, 500mg every 4-6 hours (up to 4g/day)
Irbesartan,41, Valproic Acid, 0.5-2mg 2-3 times/day
Felodipine,41, Lamotrigine, 10-30mg 2-3 times/day
Repaglinide,73, Acetaminophen, 20-80mg once/day
Clopidogrel,48, Alprazolam, 2.5-20mg once/day with meal
Warfarin,65, Nateglinide, 500-2000mg/day
Alprazolam,65, Carvedilol, 0.25-2mg 2-3 times/day
Ramipril,59, Trazodone Hydrochloride, 20-80mg once/day
Cetirizine,44, Warfarin Sodium, 1-100mg/day
Lisinopril,44, Donepezil Hydrochloride, 50-450mg 2-3 times/day
Metformin,58, Venlafaxine Hydrochloride, 10-80mg once/day
Paliperidone,63, Haloperidol, 500-3000mg/day
Aspirin,52, Furosemide, 40-160mg once/day
Lamotrigine,77, Atorvastatin Calcium, 25-800mg/day
Alprazolam,42, Nisoldipine, 400-600mg every 4-6 hours (up to 3.2g/day)
Pantoprazole,43, Nateglinide, 10mg once/day
Cetirizine,61, Azithromycin, 150-300mg once/day
Nifedipine,45, Felodipine, 20-80mg once/day
Telmisartan,50, Gabapentin, 20-80mg once/day
Isradipine,71, Valproic Acid, 500-3000mg/day
Amlodipine,61, Aripiprazole, 12.5-150mg 3 times/day
Venlafaxine,81, Glimepiride, 10mg once/day
Olanzapine,64, Amlodipine Besylate, 75-300mg once/day
Glimepiride,79, Haloperidol, 5-10mg once/day
Nifedipine,46, Irbesartan, 10-40mg once/day
Glyburide,72, Lisinopril Dihydrate, 15-45mg once/day
Irbesartan,67, Lisinopril, 10-40mg once/day
Valproic Acid,37, Isradipine, 5-10mg once/day
Glimepiride,58, Glyburide, 75-150mg 2-3 times/day
Levothyroxine,82, Ranitidine Hydrochloride, 100mg every 12 hours (up to 200mg/day)
Glibenclamide,42, Lisinopril Dihydrate, 4-8mg once/day
Duloxetine,52, Olanzapine, 25-100mg before each meal
Baclofen,35, Lisinopril, 10-80mg 2-3 times/day
Trazodone,55, Paliperidone, 25-100mg before each meal
Captopril,95, Atorvastatin Calcium, 10-80mg once/day
Metformin,53, Losartan Potassium, 25-800mg/day
Alprazolam,49, Hydrochlorothiazide, 12.5-150mg 3 times/day
Repaglinide,46, Captopril, 5-30mg once/day
Telmisartan,62, Thioridazine Hydrochloride, 25-800mg once/day
Verapamil,78, Pioglitazone Hydrochloride, 250-500mg every 8 hours (up to 3g/day)
Ziprasidone,78, Trazodone Hydrochloride, 250-500mg every 8 hours (up to 3g/day)
Gabapentin,16, Benazepril Hydrochloride, 5-10mg once/day
Glyburide,60, Doxycycline Hyclate, 20-80mg once/day
Felodipine,42, Losartan Potassium, 40-320mg once/day
Felodipine,79, Azithromycin, 10-80mg once/day
Trazodone,49, Cetirizine Hydrochloride, 75-150mg 2-3 times/day
Omeprazole,73, Chlorpromazine Hydrochloride, 5-10mg once/day
Candesartan,61, Nifedipine, 2.5-20mg once/day
Aspirin,57, Rosiglitazone Maleate, 10-40mg once/day
Lisinopril,44, Venlafaxine Hydrochloride, 10-30mg 2-3 times/day
Fluphenazine,85, Glimepiride, 325-650mg every 4-6 hours (up to 4g/day)
Venlafaxine,67, Pantoprazole Sodium, 40-320mg 2-3 times/day
Thioridazine,60, Montelukast Sodium, 5-10mg once/day
Glimepiride,77, Miglitol, 500-2000mg/day
Venlafaxine,52, Omeprazole, 40-320mg once/day
Metoprolol,75, Ranitidine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Clonazepam,56, Acetaminophen, 1-100mg/day
Miglitol,41, Valproic Acid, 37.5-225mg once/day
Diltiazem,56, Quetiapine Fumarate, 40-320mg 2-3 times/day
Alprazolam,39, Venlafaxine Hydrochloride, 25-100mg before each meal
Propranolol,67, Irbesartan, 75-300mg once/day
Lisinopril,52, Felodipine, 20-80mg once/day
Propranolol,76, Risperidone, 150-300mg once/day
Furosemide,28, Ziprasidone Hydrochloride, 10mg once/day
Procardia,49, Nisoldipine, 15-45mg once/day
Metformin,43, Alprazolam, 10-80mg once/day
Repaglinide,69, Alprazolam, 0.2-0.3g before each meal
Glimepiride,32, Lisinopril Dihydrate, 2-6mg once/day
Levothyroxine,65, Aripiprazole, 40-60mg once/day
Enalapril,78, Lisinopril, 80-120mg 2-3 times/day
Losartan,61, Irbesartan, 40-320mg 2-3 times/day
Cetirizine,23, Doxycycline Hyclate, 30-120mg 2-3 times/day
Procardia,65, Diltiazem Hydrochloride, 20mg once/day
Pantoprazole,89, Benazepril Hydrochloride, 325-650mg every 4-6 hours (up to 4g/day)
Pioglitazone,57, Omeprazole, 0.25-2mg 2-3 times/day
Benazepril,38, Lisinopril Dihydrate, 5-10mg once/day
Pioglitazone,57, Thioridazine Hydrochloride, 40-320mg once/day
Alprazolam,58, Isradipine, 80-120mg 2-3 times/day
Glibenclamide,50, Nisoldipine, 12.5-150mg 3 times/day
Duloxetine,61, Voglibose, 0.5-2mg 2-3 times/day
Nifedipine,76, Cetirizine Hydrochloride, 25-200mcg once/day
Fluphenazine,71, Benazepril Hydrochloride, 40-160mg once/day
Aspirin,28, Nateglinide, 37.5-225mg once/day
Haloperidol,61, Verapamil Hydrochloride, 5-10mg once/day
Lamotrigine,63, Ranitidine Hydrochloride, 300-1200mg 3 times/day
Voglibose,89, Fluoxetine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Lithium Carbonate,54, Risperidone, 10-40mg once/day
Quetiapine,68, Atorvastatin Calcium, 25-1000mg/day
Telmisartan,86, Glyburide, 40-60mg once/day
Lamotrigine,27, Enalapril Maleate, 20mg once/day
Procardia,87, Lercanidipine Hydrochloride, 5-10mg once/day
Nifedipine,78, Haloperidol, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Losartan,44, Repaglinide, 500mg every 4-6 hours (up to 4g/day)
Metformin,38, Nisoldipine, 20-80mg once/day
Glyburide,62, Lisinopril Dihydrate, 40-320mg 2-3 times/day
Voglibose,50, Metformin Hydrochloride, 80-120mg 2-3 times/day
Lisinopril,90, Pregabalin, 0.5-2mg 2-3 times/day
Losartan,60, Amoxicillin Trihydrate, 75-300mg once/day
Repaglinide,11, Glyburide, 30-120mg 2-3 times/day
Olanzapine,54, Lisinopril Dihydrate, 10mg once/day
Irbesartan,88, Irbesartan, 30-120mg 2-3 times/day
Donepezil,58, Captopril, 5-30mg once/day
Captopril,48, Gabapentin, 8-32mg once/day
Irbesartan,66, Candesartan Cilexetil, 500-2000mg/day
Acarbose,54, Venlafaxine Hydrochloride, 10-80mg once/day
Aspirin,76, Telmisartan, 500mg every 4-6 hours (up to 4g/day)
Lercanidipine,47, Montelukast Sodium, 40-320mg once/day
Rosiglitazone,96, Clopidogrel Bisulfate, 40-320mg 2-3 times/day
Valproic Acid,40, Rosiglitazone Maleate, 5-10mg 2-3 times/day
Doxycycline,57, Ramipril, 5-10mg once/day
Trazodone,77, Nifedipine, 25-200mcg once/day
Diltiazem,56, Duloxetine Hydrochloride, 4-8mg once/day
Diltiazem,58, Glibenclamide, 150-300mg once/day
Captopril,59, Amlodipine Besylate, 12.5-25mg once/day
Nateglinide,53, Hydrochlorothiazide, 10mg once/day
Thioridazine,70, Baclofen, 0.25-2mg 2-3 times/day
Pioglitazone,55, Pioglitazone Hydrochloride, 10-30mg 2-3 times/day
Nateglinide,58, Lisinopril, 300-1200mg 3 times/day
Plendil,46, Aripiprazole, 500mg every 4-6 hours (up to 4g/day)
Captopril,26, Paliperidone, 0.5-2mg 2-3 times/day
Lisinopril,43, Aripiprazole, 6.25-50mg 2-3 times/day
Venlafaxine,75, Valsartan, 30-120mg 2-3 times/day
Benazepril,73, Levothyroxine Sodium, 5-30mg once/day
Aspirin,31, Glyburide, 5-40mg once/day
Plendil,31, Candesartan Cilexetil, 10-30mg 2-3 times/day
Olanzapine,50, Donepezil Hydrochloride, 5-30mg once/day
Hydrochlorothiazide,75, Lercanidipine Hydrochloride, 325-650mg every 4-6 hours (up to 4g/day)
Clopidogrel,33, Acetylsalicylic Acid, 5-10mg 2-3 times/day
Quetiapine,64, Diltiazem Hydrochloride, 25-1000mg/day
Candesartan,70, Glyburide, 8-32mg once/day
Quetiapine,72, Nateglinide, 5-10mg once/day
Enalapril,65, Clonazepam, 500mg on day 1 followed by 250mg once/day for 4 days
Simvastatin,36, Risperidone, 500mg on day 1 followed by 250mg once/day for 4 days
Venlafaxine,63, Ranitidine Hydrochloride, 25-100mg once/day
Candesartan,66, Pantoprazole Sodium, 500mg on day 1 followed by 250mg once/day for 4 days
Duloxetine,67, Ziprasidone Hydrochloride, 600-1800mg/day
Losartan,75, Nateglinide, 10-30mg 2-3 times/day
Losartan,58, Pioglitazone Hydrochloride, 20mg once/day
Warfarin,74, Acetaminophen, 400-600mg every 4-6 hours (up to 3.2g/day)
Voglibose,57, Nateglinide, 40-320mg 2-3 times/day
Telmisartan,39, Amlodipine Besylate, 0.25-2mg 2-3 times/day
Glibenclamide,53, Omeprazole, 6-12mg once/day
Warfarin,47, Lisinopril, 2.5-10mg once/day
Alprazolam,42, Losartan Potassium, 500-3000mg/day
Procardia,57, Chlorpromazine Hydrochloride, 6.25-50mg 2-3 times/day
Omeprazole,53, Voglibose, 40-160mg once/day
Captopril,93, Haloperidol, 500mg every 4-6 hours (up to 4g/day)
Chlorpromazine,28, Gabapentin, 10-40mg once/day
Amoxicillin,53, Candesartan Cilexetil, 10-80mg once/day
Paliperidone,81, Ranitidine Hydrochloride, 0.2-0.3g before each meal
Diltiazem,69, Ibuprofen, 300-1200mg 3 times/day
Lercanidipine,26, Acetaminophen, 400-600mg every 4-6 hours (up to 3.2g/day)
Glyburide,43, Lisinopril Dihydrate, 25-1000mg/day
Metformin,36, Risperidone, 500mg every 4-6 hours (up to 4g/day)
Captopril,32, Metoprolol Tartrate, 5-10mg once/day
Omeprazole,39, Propranolol Hydrochloride, 500-2000mg/day
Propranolol,36, Amoxicillin Trihydrate, 25-500mg once/day
Glibenclamide,71, Verapamil Hydrochloride, 6.25-50mg 2-3 times/day
Pregabalin,42, Benazepril Hydrochloride, 400-600mg every 4-6 hours (up to 3.2g/day)
Enalapril,73, Gabapentin, 10mg once/day
Propranolol,78, Valsartan, 325-650mg every 4-6 hours (up to 4g/day)
Baclofen,56, Telmisartan, 2.5-20mg once/day
Montelukast,30, Captopril, 500mg every 4-6 hours (up to 4g/day)
Risperidone,71, Hydrochlorothiazide, 10-20mg once/day
Atorvastatin,60, Verapamil Hydrochloride, 2.5-10mg once/day
Felodipine,61, Ranitidine Hydrochloride, 40mg once/day
Doxycycline,67, Metoprolol Tartrate, 100mg every 12 hours (up to 200mg/day)
Glyburide,25, Pantoprazole Sodium, 2.5-20mg once/day with meal
Atorvastatin,66, Amoxicillin Trihydrate, 25-500mg once/day
Doxycycline,27, Ramipril, 325-650mg every 4-6 hours (up to 4g/day)
Captopril,59, Warfarin Sodium, 500mg every 4-6 hours (up to 4g/day)
Ziprasidone,65, Ziprasidone Hydrochloride, 40-160mg once/day
Alprazolam,79, Olanzapine, 300-1200mg 3 times/day
Atorvastatin,28, Trazodone Hydrochloride, 5-10mg once/day
Valsartan,48, Aripiprazole, 300-1200mg 3 times/day
Telmisartan,44, Montelukast Sodium, 300-1200mg 3 times/day
Pregabalin,65, Metformin Hydrochloride, 5-40mg once/day
Felodipine,71, Glyburide, 8-32mg once/day
Venlafaxine,66, Omeprazole, 100mg every 12 hours (up to 200mg/day)
Metoprolol,81, Donepezil Hydrochloride, 10-30mg 2-3 times/day
Metformin,66, Lercanidipine Hydrochloride, 1-100mg/day
Clonazepam,62, Acetylsalicylic Acid, 10mg once/day
Thioridazine,50, Losartan Potassium, 300-1200mg 3 times/day
Duloxetine,69, Olanzapine, 0.25-2mg 2-3 times/day
Simvastatin,45, Acarbose, 5-10mg 2-3 times/day
Donepezil,41, Metformin Hydrochloride, 5-10mg once/day
Warfarin,52, Alprazolam, 150-300mg once/day
Lercanidipine,79, Miglitol, 400-600mg every 4-6 hours (up to 3.2g/day)
Azithromycin,61, Glimepiride, 25-500mg once/day
Amlodipine,36, Furosemide, 10-40mg once/day
Clopidogrel,92, Metformin Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Venlafaxine,64, Thioridazine Hydrochloride, 10mg once/day
Gabapentin,46, Losartan Potassium, 5-10mg once/day
Procardia,93, Lithium Carbonate, 80-120mg 2-3 times/day
Furosemide,66, Rosiglitazone Maleate, 30-120mg 2-3 times/day
Donepezil,60, Verapamil Hydrochloride, 75-150mg 2-3 times/day
Amlodipine,29, Lamotrigine, 8-32mg once/day
Fluoxetine,43, Miglitol, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Haloperidol,80, Pantoprazole Sodium, 150-300mg 2-3 times/day
Lercanidipine,46, Atorvastatin Calcium, 0.5-4mg before each meal
Plendil,50, Lisinopril Dihydrate, 10-80mg once/day
Donepezil,54, Ibuprofen, 5-10mg once/day
Lamotrigine,90, Lamotrigine, 12.5-25mg once/day
Captopril,70, Montelukast Sodium, 10-80mg 2-3 times/day
Losartan,28, Venlafaxine Hydrochloride, 10-30mg 2-3 times/day
Alprazolam,68, Haloperidol, 6-12mg once/day
Carvedilol,62, Amlodipine Besylate, 150-300mg 2-3 times/day
Candesartan,61, Fluoxetine Hydrochloride, 80-120mg 2-3 times/day
Risperidone,89, Doxycycline Hyclate, 25-100mg before each meal
Warfarin,46, Amoxicillin Trihydrate, 12.5-25mg once/day
Amoxicillin,27, Acetylsalicylic Acid, 0.2-0.3g before each meal
Doxycycline,60, Miglitol, 10-30mg 2-3 times/day
Propranolol,74, Nifedipine, 80-120mg 2-3 times/day
Losartan,63, Alprazolam, 40mg once/day
Plendil,70, Lithium Carbonate, 0.5-4mg before each meal
Enalapril,27, Lithium Carbonate, 10-20mg once/day
Verapamil,32, Diltiazem Hydrochloride, 1-100mg/day
Lisinopril,69, Metformin Hydrochloride, 50-450mg 2-3 times/day
Azithromycin,93, Fluphenazine Decanoate, 37.5-225mg once/day
Lamotrigine,49, Olanzapine, 500mg on day 1 followed by 250mg once/day for 4 days
Ziprasidone,55, Miglitol, 5-30mg once/day
Cetirizine,22, Risperidone, 1-100mg/day
Acarbose,88, Pioglitazone Hydrochloride, 4-8mg once/day
Irbesartan,48, Lercanidipine Hydrochloride, 10-80mg once/day
Losartan,20, Voglibose, 5-20mg once/day
Fluoxetine,55, Propranolol Hydrochloride, 5-10mg once/day
Risperidone,29, Acetaminophen, 5-10mg once/day
Amlodipine,18, Valproic Acid, 10-40mg once/day
Captopril,55, Verapamil Hydrochloride, 0.5-4mg before each meal
Glyburide,80, Chlorpromazine Hydrochloride, 5-20mg once/day
Aspirin,86, Acarbose, 10-30mg 2-3 times/day
Lithium Carbonate,75, Metformin Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Simvastatin,64, Verapamil Hydrochloride, 10mg once/day
Losartan,53, Valproic Acid, 37.5-225mg once/day
Montelukast,75, Glyburide, 12.5-150mg 3 times/day
Doxycycline,58, Ziprasidone Hydrochloride, 10-80mg 2-3 times/day
Lamotrigine,62, Acetylsalicylic Acid, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Azithromycin,50, Lercanidipine Hydrochloride, 25-1000mg/day
Metformin,37, Benazepril Hydrochloride, 25-100mg once/day
Paliperidone,57, Olanzapine, 25-800mg once/day
Hydrochlorothiazide,29, Hydrochlorothiazide, 5-10mg once/day
Aripiprazole,40, Lisinopril Dihydrate, 40-160mg once/day
Pioglitazone,51, Clopidogrel Bisulfate, 25-200mcg once/day
Azithromycin,51, Metformin Hydrochloride, 2.5-30mg once every 2-4 weeks
Amlodipine,25, Cetirizine Hydrochloride, 25-500mg once/day
Alprazolam,47, Metformin Hydrochloride, 10mg once/day
Pioglitazone,60, Verapamil Hydrochloride, 0.2-0.3g before each meal
Acarbose,68, Nateglinide, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Pioglitazone,23, Telmisartan, 40-160mg once/day
Nateglinide,53, Metformin Hydrochloride, 15-45mg once/day
Miglitol,50, Captopril, 4-8mg once/day
Paracetamol,85, Pantoprazole Sodium, 0.2-0.3g before each meal
Lisinopril,49, Gabapentin, 40-320mg 2-3 times/day
Cetirizine,51, Telmisartan, 80-120mg 2-3 times/day
Valproic Acid,55, Diltiazem Hydrochloride, 10-80mg once/day
Lisinopril,62, Captopril, 10-40mg once/day
Glibenclamide,78, Glimepiride, 6.25-50mg 2-3 times/day
Atorvastatin,94, Benazepril Hydrochloride, 0.2-0.3g before each meal
Pioglitazone,65, Nisoldipine, 75-300mg once/day
Clopidogrel,54, Atorvastatin Calcium, 10-30mg 2-3 times/day
Ramipril,28, Metoprolol Tartrate, 75-150mg 2-3 times/day
Nifedipine,64, Chlorpromazine Hydrochloride, 30-120mg 2-3 times/day
Lisinopril,46, Acetylsalicylic Acid, 10-30mg 2-3 times/day
Rosiglitazone,41, Nifedipine, 75-300mg once/day
Haloperidol,62, Diltiazem Hydrochloride, 600-1800mg/day
Clonazepam,65, Pioglitazone Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Lithium Carbonate,33, Risperidone, 5-10mg once/day
Propranolol,59, Alprazolam, 2-6mg once/day
Voglibose,89, Fluphenazine Decanoate, 10mg once/day
Levothyroxine,67, Haloperidol, 75mg once/day
Omeprazole,87, Metformin Hydrochloride, 2.5-10mg once/day
Valproic Acid,22, Losartan Potassium, 120mg before each meal
Clopidogrel,30, Quetiapine Fumarate, 25-100mg before each meal
Doxycycline,50, Lamotrigine, 37.5-225mg once/day
Glimepiride,62, Lisinopril Dihydrate, 5-10mg once/day
Fluphenazine,48, Paliperidone, 500mg every 4-6 hours (up to 4g/day)
Gabapentin,52, Nisoldipine, 20mg once/day
Lithium Carbonate,58, Felodipine, 500-2000mg/day
Glyburide,29, Verapamil Hydrochloride, 5-10mg once/day
Quetiapine,63, Losartan Potassium, 20mg once/day
Thioridazine,17, Venlafaxine Hydrochloride, 25-200mcg once/day
Donepezil,59, Chlorpromazine Hydrochloride, 2.5-20mg once/day
Metoprolol,47, Aripiprazole, 25-100mg once/day
Nateglinide,57, Enalapril Maleate, 5-10mg once/day
Venlafaxine,68, Lamotrigine, 600-1800mg/day
Chlorpromazine,79, Candesartan Cilexetil, 10-80mg once/day
Ziprasidone,67, Atorvastatin Calcium, 40mg once/day
Adalat,63, Irbesartan, 5-10mg once/day
Fluoxetine,69, Valsartan, 0.5-2mg 2-3 times/day
Ramipril,38, Montelukast Sodium, 250-500mg every 8 hours (up to 3g/day)
Procardia,49, Nifedipine, 37.5-225mg once/day
Ranitidine,51, Rosiglitazone Maleate, 0.25-2mg 2-3 times/day
Glimepiride,85, Quetiapine Fumarate, 8-32mg once/day
Warfarin,44, Telmisartan, 20-80mg once/day
Chlorpromazine,52, Aripiprazole, 4-8mg once/day
Paracetamol,71, Metformin Hydrochloride, 10-20mg once/day
Telmisartan,54, Isradipine, 20mg once/day
